d_bias_x1e3_mean,d_bias_x1e3_std,d_mae_x1e3_mean,d_mae_x1e3_std,d_rmse_x1e3_mean,d_rmse_x1e3_std,k_bias_mean,k_bias_std,k_mae_mean,k_mae_std,k_rmse_mean,k_rmse_std,method,n
-0.18365421293613812,0.13015124816132884,0.27116911423703033,0.13038370278844022,0.3689473196864128,0.15818818477124824,-0.6277676671743393,0.01896474857864851,0.6277676671743393,0.01896474857864851,0.65695920586586,0.016329352962088546,mono_adc_as_d,12
0.16086285219838223,0.09528201955884621,0.36237724746267,0.14431048768124055,0.47701673582196236,0.1670984593063566,-0.31968553612629574,0.13932030027607775,0.404646431406339,0.075821160115124,0.4881281554698944,0.05681133107132786,poly_dki_fit,12
0.30691404790074256,0.12072824635914094,0.4038075978557269,0.06249223428573481,0.4548045185705026,0.07538147340610447,-0.02797823267125447,0.060658497480461905,0.11526861460879445,0.03425447920904203,0.1415686869683365,0.04147640535496098,cnn_pinn_log,48
0.0010034492006525397,0.08888731541560864,0.10145786171779037,0.03755774682933773,0.12859344094370803,0.04259450637060609,0.0011617044589608365,0.026246060320115606,0.06130372267216444,0.008368583543189178,0.0771471265082558,0.00916719834827036,cnn_supervised,48
0.052230198887021594,0.09670033120472508,0.16439270228147507,0.05711987468849134,0.19948653069635233,0.06537512925097434,-0.32982772995213355,0.17482163514208965,0.3445572624914348,0.15748122883518728,0.3751513309155901,0.15793017092384007,pinn_log_no_gt,48
-0.03096056418386676,0.05507208043421138,0.16428890257763365,0.04768156970267157,0.2157858192610244,0.05844197763644335,-0.3669212389116486,0.18914516589552152,0.3901268430054188,0.1590863943368503,0.42594240854183835,0.15716692726521778,pinn_log_predict_s0,48
0.038500993250636384,0.08226501703010278,0.15838206450765333,0.04995999799943611,0.19336118044642112,0.059643515778512915,-0.34565290125707787,0.15724732389622897,0.35923911289622384,0.1420144641369292,0.3921258704115947,0.14085040852407357,pinn_log_rician_no_gt,48
0.00016650994560526064,0.06262405404987192,0.16677857477528354,0.04550573660176864,0.21274500216046968,0.05640762511433221,-0.3458229845079283,0.17820860548633385,0.36582030914723873,0.1537331590964704,0.39937678662439186,0.15295700828935954,pinn_log_rician_predict_s0,48
0.029497665440430865,0.07839510962612302,0.13632646288412312,0.050688311333890526,0.16855332643414536,0.06365833825229693,-0.2679920704880108,0.16657719355064984,0.28373670919487876,0.15160679480741093,0.30975752354909974,0.15134627920180085,semi_supervised_mlp,48
-0.003913667777245185,0.05243936342413599,0.1161968216765672,0.05435580473665563,0.1475762747383366,0.07064203717754372,-0.0009488715058978414,0.019096265406976346,0.07381969798977177,0.01382206195401868,0.09268876444548368,0.01698444269565908,supervised_mlp,48
